espessura,peso,densidade,umidade,linha,fornecedor,lote,qualidade
1.27,511.4,1.12,13.205910398065393,C,local,reciclado,reprovado
1.14,514.0,1.1,14.909708768023954,C,importado,reciclado,reprovado
1.49,485.4,1.04,2.4177309799184803,B,,reciclado,reprovado
,498.2,1.18,0.353684258348953,B,local,reciclado,aprovado
0.87,517.9,1.1,3.289837604730637,C,importado,reciclado,reprovado
1.38,510.9,,8.849279746464202,C,importado,novo,reprovado
0.95,484.7,0.96,2.6092670936629956,B,importado,novo,reprovado
1.3,500.1,0.99,12.1722663690923,A,importado,novo,reprovado
0.93,516.9,0.93,6.130058651916636,A,importado,novo,reprovado
0.81,497.6,0.99,9.157991110711944,B,local,novo,reprovado
0.91,513.5,1.19,6.834267624342884,C,importado,novo,reprovado
1.06,499.8,1.19,13.549918824284305,B,importado,novo,reprovado
0.87,484.3,1.13,0.5270300559341667,C,importado,reciclado,reprovado
0.94,485.9,1.06,10.939528434848995,B,local,novo,reprovado
1.34,481.9,1.13,9.782582000112999,B,importado,reciclado,reprovado
,487.8,1.07,9.742725464786398,B,importado,reciclado,reprovado
1.37,515.7,0.9,6.209840895573077,B,importado,reciclado,reprovado
1.39,506.0,,0.23512842713846294,B,importado,novo,reprovado
1.09,509.6,,10.338610829519368,B,local,reciclado,reprovado
1.41,504.9,0.98,12.4420681921238,C,local,reciclado,reprovado
1.17,495.5,,1.278454664810222,C,local,reciclado,aprovado
,488.7,0.98,6.62426256365953,A,local,novo,reprovado
1.3,517.0,1.09,2.438922809205813,B,importado,novo,reprovado
0.95,500.6,0.94,9.164066796444125,A,,reciclado,reprovado
1.35,499.2,1.12,11.78407314538555,A,local,reciclado,reprovado
1.1,519.8,1.03,10.000598473911095,B,local,reciclado,reprovado
0.89,495.4,1.01,4.770901057288282,B,importado,reciclado,reprovado
0.88,514.2,1.14,2.0959905424857572,A,local,novo,reprovado
0.92,514.5,1.05,11.914022190756933,A,importado,reciclado,reprovado
1.42,489.3,1.01,4.858752877390382,B,importado,reciclado,reprovado
1.49,483.8,1.16,0.33209747616639196,B,importado,reciclado,reprovado
1.05,,1.01,8.571318215238762,B,local,novo,reprovado
1.0,497.0,1.16,3.700159653500675,C,local,reciclado,aprovado
0.95,480.1,1.05,12.618089975372653,A,,novo,reprovado
1.38,500.0,,2.1488280658616783,A,local,novo,reprovado
0.95,504.8,1.08,6.5220127358887545,A,importado,reciclado,reprovado
1.45,511.0,0.99,3.796953054165177,C,local,reciclado,reprovado
1.27,517.7,0.94,10.34402428831622,A,local,novo,reprovado
1.43,516.6,0.93,8.227963640361324,B,local,reciclado,reprovado
1.19,517.6,0.97,11.86481578872894,C,importado,,reprovado
1.28,481.3,1.12,6.8791886283547825,A,importado,novo,reprovado
1.23,508.5,1.15,0.07212647316593379,C,importado,novo,aprovado
1.38,489.0,1.16,,C,importado,novo,reprovado
1.39,487.5,0.98,14.987356622914104,B,local,novo,reprovado
1.21,512.0,1.1,6.080174839642654,C,importado,reciclado,reprovado
1.24,496.7,0.97,9.303526618293382,B,importado,reciclado,reprovado
1.45,516.7,1.09,,B,local,reciclado,reprovado
1.45,481.7,1.17,0.30786273217632665,A,local,novo,reprovado
1.26,512.1,0.91,9.894110945960929,B,local,reciclado,reprovado
0.81,485.5,1.2,4.325654609676551,A,importado,novo,reprovado
0.87,487.1,1.15,4.188723830286472,A,,reciclado,reprovado
1.4,499.1,1.13,3.372771048724603,A,local,novo,reprovado
0.86,,1.11,12.340938244367397,B,importado,novo,reprovado
0.95,499.4,1.13,5.594215986697417,A,local,novo,reprovado
,517.6,1.2,1.006748073906386,B,local,reciclado,reprovado
1.22,506.3,1.13,1.452767368247447,B,importado,novo,aprovado
1.2,491.6,1.01,2.229215440302031,A,local,novo,aprovado
1.0,,1.08,13.483913808763878,B,local,novo,reprovado
0.95,496.8,1.0,6.411651397610137,A,importado,reciclado,reprovado
1.34,498.1,1.19,13.740740093992812,A,importado,,reprovado
1.45,504.1,1.17,12.262192091431865,A,importado,reciclado,reprovado
0.84,490.6,1.07,12.56823931886772,C,importado,novo,reprovado
0.89,510.7,1.13,4.302477166977489,B,local,novo,reprovado
1.25,483.9,1.17,4.069716190643035,C,importado,reciclado,reprovado
1.36,502.4,0.97,8.40102569756742,C,importado,reciclado,reprovado
1.35,504.9,1.07,6.268874429849261,B,local,novo,reprovado
,488.3,1.04,7.6359103245052005,B,local,reciclado,reprovado
1.42,513.0,1.13,0.7980630278654921,A,local,reciclado,reprovado
0.95,504.6,1.01,14.57385286893792,C,local,novo,reprovado
0.88,505.8,1.11,0.8725321176018469,B,importado,reciclado,reprovado
1.23,499.9,1.02,2.68246946492831,A,importado,novo,aprovado
,516.4,0.93,10.17300787252887,B,importado,reciclado,reprovado
1.21,507.8,0.93,2.3325232759287475,B,local,reciclado,aprovado
1.47,495.3,0.94,1.6030489156168355,,local,reciclado,reprovado
1.36,489.5,0.91,2.3043057205638324,B,local,reciclado,reprovado
,,1.06,0.9288036482461365,A,local,reciclado,reprovado
0.84,486.6,1.1,3.769781103875165,C,local,reciclado,reprovado
0.88,519.7,0.94,4.066789065222219,A,importado,novo,reprovado
1.35,496.3,1.08,7.479331313224826,B,importado,novo,reprovado
0.94,515.9,1.08,,C,local,reciclado,reprovado
0.82,,0.94,7.105701227232677,,local,reciclado,reprovado
1.44,497.0,1.02,9.24059256313354,A,importado,reciclado,reprovado
,518.4,1.13,3.4644214687431574,A,importado,reciclado,reprovado
0.95,483.6,0.91,2.0205619663784273,A,importado,reciclado,reprovado
1.35,503.8,0.94,13.183174179683153,C,local,novo,reprovado
0.83,516.8,1.2,9.50912009353427,A,local,reciclado,reprovado
1.0,518.0,,,B,local,novo,reprovado
1.24,513.8,1.04,14.415774748512304,C,importado,novo,reprovado
1.33,514.2,1.09,10.396027534026134,A,importado,reciclado,reprovado
0.81,506.1,1.15,2.2755696313051743,C,importado,novo,reprovado
1.03,488.8,1.15,14.537016475146011,,local,novo,reprovado
0.95,509.2,1.0,5.481110148744496,B,importado,novo,reprovado
1.5,519.1,1.05,14.767651197971553,B,local,novo,reprovado
1.27,501.0,1.09,1.5491344408993273,A,local,,aprovado
1.08,490.4,0.92,2.399538255532436,A,local,reciclado,aprovado
0.85,502.9,,9.861293263122663,C,,novo,reprovado
1.22,507.6,1.03,0.3321519774910986,A,importado,reciclado,aprovado
1.25,488.3,1.01,0.2803446182735353,C,local,reciclado,reprovado
1.37,508.8,1.17,11.879742483373507,,importado,novo,reprovado
1.0,503.5,0.94,2.516704976097305,B,,reciclado,aprovado
1.49,504.5,0.91,13.78184988881411,A,importado,reciclado,reprovado
1.11,492.2,1.11,,A,,novo,aprovado
1.01,486.2,1.02,13.104785314489135,A,local,reciclado,reprovado
,504.9,1.13,6.266453761297927,B,local,reciclado,aprovado
1.16,503.4,0.92,7.953450074582101,C,local,reciclado,aprovado
1.46,493.5,1.02,4.747712425146192,A,importado,novo,reprovado
1.31,491.8,0.97,9.871146266339027,,importado,reciclado,reprovado
1.2,493.9,1.12,4.773017489145992,,local,reciclado,aprovado
0.91,499.6,0.97,3.3475514677507388,A,,reciclado,reprovado
0.9,,1.04,1.2157096794405113,B,importado,reciclado,reprovado
1.15,510.5,1.15,0.8650402174177008,A,local,novo,reprovado
1.31,514.1,1.17,4.589615298034334,A,local,novo,reprovado
1.33,500.2,1.12,11.047100178738832,A,local,novo,reprovado
0.96,501.0,1.03,3.084300995154244,A,local,novo,reprovado
